epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,917.883,1.13608,0.77253,1.02292,0.73615,0.79604,0.81575,0.56404,1.19069,0.7399,1.06816,2.98e-05,2.98e-05,2.98e-05
41,1061.48,1.14413,0.71832,1.05225,0.73987,0.78884,0.81485,0.56231,1.19192,0.74847,1.06913,2.8e-05,2.8e-05,2.8e-05
42,1204.44,1.12766,0.69479,1.04555,0.74255,0.79461,0.82089,0.56871,1.18208,0.73395,1.06578,2.62e-05,2.62e-05,2.62e-05
43,1342.76,1.12347,0.68835,1.04305,0.74653,0.79181,0.8196,0.57066,1.17869,0.73477,1.06455,2.44e-05,2.44e-05,2.44e-05
44,1484.8,1.12117,0.68619,1.04184,0.75786,0.77366,0.82132,0.5681,1.1791,0.733,1.065,2.26e-05,2.26e-05,2.26e-05
45,1623.78,1.1149,0.67827,1.04321,0.77087,0.77057,0.82577,0.57488,1.17257,0.72667,1.06077,2.08e-05,2.08e-05,2.08e-05
46,1762.04,1.10882,0.67079,1.03832,0.75798,0.781,0.82159,0.57494,1.1712,0.72576,1.06145,1.9e-05,1.9e-05,1.9e-05
47,1902.02,1.10996,0.66901,1.04029,0.7652,0.77953,0.82442,0.57619,1.17167,0.72127,1.0609,1.72e-05,1.72e-05,1.72e-05
48,2039.35,1.10748,0.66596,1.0395,0.78604,0.76329,0.82433,0.57687,1.16873,0.71952,1.06084,1.54e-05,1.54e-05,1.54e-05
49,2182.06,1.10282,0.66025,1.03739,0.7649,0.77848,0.82544,0.57833,1.16426,0.7157,1.05882,1.36e-05,1.36e-05,1.36e-05
50,2320.11,1.10231,0.65853,1.03498,0.75826,0.79041,0.82748,0.5808,1.16341,0.71501,1.05882,1.18e-05,1.18e-05,1.18e-05
